URL,TITLE,PUBLISH DATE,VIEWS,CHANNEL,DURATION
https://www.youtube.com/watch?v=gnZmRWTSyLs&pp=ygULYW5kcmV3IHRhdGU%3D,The Andrew Tate Interview - PART 1 | EP. 47,1 month ago,11M views,https://www.youtube.com/@GeorgeJanko,"1 hour, 37 minutes, 10 seconds"
https://www.youtube.com/watch?v=Q__InNlZi3A&pp=ygULYW5kcmV3IHRhdGU%3D,The Andrew Tate Interview - PART 2 | EP. 48,1 month ago,4.6M views,https://www.youtube.com/@GeorgeJanko,"1 hour, 27 minutes, 6 seconds"
https://www.youtube.com/watch?v=p9kZ7B_aVfc&pp=ygULYW5kcmV3IHRhdGU%3D,1 Hour Andrew Tate Monster Compilation,2 weeks ago,182K views,https://www.youtube.com/@KirillVeretin,"1 hour, 1 minute, 2 seconds"
https://www.youtube.com/watch?v=2oWbDCql4JA&pp=ygULYW5kcmV3IHRhdGU%3D,PART 1: Piers Morgan vs Andrew Tate In Romania | Latest Interview,2 months ago,11M views,https://www.youtube.com/@PiersMorganUncensored,"1 hour, 15 minutes, 24 seconds"
https://www.youtube.com/watch?v=3BZjC9H5Dc4&pp=ygULYW5kcmV3IHRhdGU%3D,Andrew Tate 🔴‼️DELETED FOOTAGE‼️ BEST CLIPS EP3 #andrewtate,1 year ago,369K views,https://www.youtube.com/@tasteoftate2108,"7 minutes, 46 seconds"
https://www.youtube.com/watch?v=G0GfHTOtHqU&pp=ygULYW5kcmV3IHRhdGU%3D,"Всім, таки, доведеться воювати! Стратегічно готують ВСІХ?",7 hours ago,36K views,https://www.youtube.com/@SergiyGula,"10 minutes, 30 seconds"
https://www.youtube.com/watch?v=a4Ta3srGmXo&pp=ygULYW5kcmV3IHRhdGU%3D,Andrew Tate's BEST Interview,1 year ago,7.4M views,https://www.youtube.com/@Strikeitbig,"2 hours, 27 minutes, 21 seconds"
https://www.youtube.com/watch?v=5b0Ak3oLRaA&pp=ygULYW5kcmV3IHRhdGU%3D,How to cuddle a Lion! - Dean Schneider,4 hours ago,33K views,https://www.youtube.com/@DeanSchneiderHakunaMipaka,"21 minutes, 33 seconds"
https://www.youtube.com/watch?v=2pMsYSR7g78&pp=ygULYW5kcmV3IHRhdGU%3D,PART 2: Andrew Tate Talks Palestine and Israel With Piers Morgan | Latest Interview,2 months ago,7.7M views,https://www.youtube.com/@PiersMorganUncensored,"35 minutes, 16 seconds"
https://www.youtube.com/watch?v=XzxBixdwaeo&pp=ygULYW5kcmV3IHRhdGU%3D,This Is Just Andrew Tate Content For Women,7 hours ago,64K views,https://www.youtube.com/@Vaush,"14 minutes, 20 seconds"
https://www.youtube.com/watch?v=O-30TJFlnB8&pp=ygULYW5kcmV3IHRhdGU%3D,"Andrew Tate Reviews New $1,000,000 MASERATI",11 hours ago,3.8K views,https://www.youtube.com/@TheCobraMind,"20 minutes, 40 seconds"
https://www.youtube.com/watch?v=QOFelaAjJYg&pp=ygULYW5kcmV3IHRhdGU%3D,YOU CAN'T COUNT ON LUCK - Motivational Speech by Andrew Tate | Andrew Tate Motivation,1 month ago,58K views,https://www.youtube.com/@healthymindset13,"12 minutes, 3 seconds"
https://www.youtube.com/watch?v=DhKVsj0YjWA&pp=ygULYW5kcmV3IHRhdGU%3D,"Andrew Tate Buys His Best Friend A $1,000,000 SUPERCAR",3 hours ago,968 views,https://www.youtube.com/@TheCobraMind,"14 minutes, 53 seconds"
https://www.youtube.com/watch?v=2p3_PYaVZt4&pp=ygULYW5kcmV3IHRhdGU%3D,Andrew Tate Changed My Life & I No Longer Have A Girlfriend | EP. 49,2 weeks ago,1.4M views,https://www.youtube.com/@GeorgeJanko,"45 minutes, 26 seconds"
